license,name,municipality,county,county_source,address,city,zip,lat,lon,status
140700460,"""ALWAYS AFTER 5"", INC.",Springfield,Sangamon,igb_licensee_list,2739 - 2741 S 6th Street,Springfield,62703,,,needs_coordinates
240700530,"""McBerns Enterprises, Inc.""",East Dubuque,Jo Daviess,igb_licensee_list,285 5th Street,East Dubuque,61025,,,needs_coordinates
120809800,"'CARPENTERSVILLE, LODGE NO. 1958, LOYAL ORDER OF MOOSE'",Carpentersville,Kane,igb_licensee_list,309 Lake Marion Road,Carpentersville,60110,,,needs_coordinates
120801306,"'OTTAWA LODGE NO. 960, LOYAL ORDER OF MOOSE'",Ottawa,La Salle,igb_licensee_list,3051 NE 18th Rd,Ottawa,61350,,,needs_coordinates
210702517,"101 South Commercial, LLC",Lincoln,Logan,igb_licensee_list,429 Keokuk Street Suite B,Lincoln,62656,,,needs_coordinates
190702099,104 PINGREE GROVE LLC,Pingree Grove,Kane,igb_licensee_list,2401 W US Highway 20 Suite 104,Pingree Grove,60140,,,needs_coordinates
200701422,117 - 119 CORPORATION,Springfield,Sangamon,igb_licensee_list,117-119 S 7TH ST,Springfield,62701,,,needs_coordinates
230701921,11808 Huntley LLC,Huntley,McHenry,igb_licensee_list,11808 W Coral St.,Huntley,60142,,,needs_coordinates
200700471,"1205 BRIDGE ST, INC.",Yorkville,Kendall,igb_licensee_list,1205 North Bridge Street,Yorkville,60560,,,needs_coordinates
170703537,121 Club Inc.,Tremont,Tazewell,igb_licensee_list,250 S Baer Road,Tremont,61568,,,needs_coordinates
120701994,"1319 Central Park, L.L.C.",O'Fallon,St. Clair,igb_licensee_list,1319 Central Park Dr.,O'Fallon,62269,,,needs_coordinates
230700533,"1320 VENDING, LLC",Rock Island County,Rock Island,igb_licensee_list,19425 IL ROUTE 84,Cordova,61242,,,needs_coordinates
230702056,147TH & DIXIE FOOD AND LIQUOR LLC,Posen,Cook,igb_licensee_list,2304 W 147TH ST,Posen,60469,,,needs_coordinates
120702121,171 On Main Inc.,Herscher,Kankakee,igb_licensee_list,171 S Main,Herscher,60941,,,needs_coordinates
221000183,1803 N FOOD MART INC.,Marshall,Clark,igb_licensee_list,1803 N ILLINOIS HIGHWAY 1,Marshall,62441,,,needs_coordinates
190703279,"1901 BRIDGE STREET, INC.",Yorkville,Kendall,igb_licensee_list,1901 S. Bridge St.,Yorkville,60560,,,needs_coordinates
220700042,"19TH HOLE, LLC",Mokena,Will,igb_licensee_list,9418 WEST 191ST STREET,Mokena,60448,,,needs_coordinates
210702637,"1ST STREET LOUNGE, LLC",O'Fallon,St. Clair,igb_licensee_list,119 W 1ST ST,O'Fallon,62269,,,needs_coordinates
140701334,"20'S HIDEOUT RESTAURANT, LLC",Marion,Williamson,igb_licensee_list,2602 WANDA DRIVE,Marion,62959,,,needs_coordinates
120703489,"2000 Meadows Avenue Tap, Inc.",East Peoria,Tazewell,igb_licensee_list,2000 Meadows Ave,East Peoria,61611,,,needs_coordinates
200701088,2022 Foodmart Inc.,McHenry County,McHenry,igb_licensee_list,2022 W Route 120,McHenry,60050,,,needs_coordinates
220702832,2300 BUSHWOOD DR. INC.,Elgin,Kane,igb_licensee_list,2300 BUSHWOOD DR,Elgin,60124,,,needs_coordinates
220702763,238 Hunan Express Inc.,Springfield,Sangamon,igb_licensee_list,238 S Dirksen Pkwy,Springfield,62703,,,needs_coordinates
140703478,"2475 W. Higgins Road, Inc.",Hoffman Estates,Cook,igb_licensee_list,2475 W. Higgins Rd.,Hoffman Estates,60169,,,needs_coordinates
160702010,"2520 PG, Inc.",Prairie Grove,McHenry,igb_licensee_list,2520 Rte 176 Unit 1,Prairie Grove,60014,,,needs_coordinates
220703700,2ND STREET BP INC.,Machesney Park,Winnebago,igb_licensee_list,11225 N 2ND ST,Machesney Park,61115,,,needs_coordinates
240700877,2nd Street Slots LLC,Machesney Park,Winnebago,igb_licensee_list,7817 N. Second St.,Machesney Park,61115,,,needs_coordinates
160704045,2SALESGUYS LLC,Windsor (Shelby),,,,,,,,needs_address_and_coordinates
160703292,3 Queens Inc.,McHenry,McHenry,igb_licensee_list,810 Front Street  STE C,McHenry,60050,,,needs_coordinates
150702175,"3's COMPANY, LTD",West Brooklyn,,,,,,,,needs_address_and_coordinates
130705111,312 Corporation,Oswego,Kendall,igb_licensee_list,54 Main Street,Oswego,60543,,,needs_coordinates
150702369,"32 Below, Inc.",Strasburg,Shelby,igb_licensee_list,101 S. Walnut St.,Strasburg,62465,,,needs_coordinates
150700815,"35 Years, LLC Landmark",Normal,McLean,igb_licensee_list,1520 E. College Ave Unit J,Normal,61761,,,needs_coordinates
150700817,"35 Years, LLC Patriot Center",Normal,McLean,igb_licensee_list,115 Susan Drive Unit H,Normal,61761,,,needs_coordinates
190702869,3rd Chute II LLC,Madison County,Madison,igb_county_literal,,,,,,needs_address_and_coordinates
190703478,3rd Street Hybrid LLC,Fisher,Champaign,igb_licensee_list,"101 S 3rd Street Suite ""B""",Fisher,61843,,,needs_coordinates
130701425,"4 J'S OF ILLINOIS, INC.",Ipava,Fulton,igb_licensee_list,21 E MAIN ST,Ipava,61441,,,needs_coordinates
210703284,44 Foods LLC,Elk Grove Village,Cook,verified_city_lookup,,,,,,needs_address_and_coordinates
160701975,"4ME, INC.",Vermilion County,Vermilion,igb_county_literal,,,,,,needs_address_and_coordinates
250701159,"4th Street Lanes, LLC",Greenville,Bond,igb_licensee_list,2120 S 4th St,Greenville,62246,,,needs_coordinates
250700286,5 BOYZ INC.,Hillsboro,,,,,,,,needs_address_and_coordinates
120704528,"510 S. Park, Corp.",Fox Lake,Lake,igb_licensee_list,510 S. Park Ave.,Fox Lake,60020,,,needs_coordinates
190702029,"55 Development, LLC",Litchfield,Montgomery,igb_licensee_list,13 Thunderbird Lane,Litchfield,62056,,,needs_coordinates
250702610,5649 North IL 251 LLC,Davis Junction,Ogle,igb_licensee_list,5649 IL 251,Davis Junction,61020,,,needs_coordinates
120701453,"722 Bonner, L.L.C.",Wauconda,Lake,igb_licensee_list,722 BONNER RD,Wauconda,60084,,,needs_coordinates
130702849,"801 North River Road, Inc.",McHenry County,McHenry,igb_licensee_list,801-805 N. River Rd.,McHenry,60051,,,needs_coordinates
120711985,"804 ENTERPRISES, LLC",Woodstock,,,,,,,,needs_address_and_coordinates
230701162,"815 GOLF CLUB PARTNERS, LLC",Lee County,Lee,igb_licensee_list,729 TIMBER CREEK RD,Dixon,61021,,,needs_coordinates
250702279,9TH FRAME ENTERTAINMENT LLC,Streator,La Salle,igb_licensee_list,2416 N IL Route 23,Streator,61364,,,needs_coordinates
130700209,A & F LTD.,Chesterfield,Macoupin,igb_licensee_list,10 S. Main,Chesterfield,62630,,,needs_coordinates
170703968,A & F LTD.,Carlinville,Macoupin,igb_licensee_list,116-120 E. Side Square,Carlinville,62626,,,needs_coordinates
180702209,"A & G Gaming, Inc.",Taylorville,Christian,igb_licensee_list,"500 W. Market, Suite A",Taylorville,62568,,,needs_coordinates
120700142,"A & M's Broadway, Inc.",Central City,Marion,igb_licensee_list,123 N Broadway,Central City,62801,,,needs_coordinates
150701151,A & P Hospitality of Illinois LLC,Calumet Park,Cook,verified_city_lookup,,,,,,needs_address_and_coordinates
160703255,"A&J Restaurant Enterprises, Inc.",Ogle County,Ogle,igb_licensee_list,14698 IL RTE 64,Rochelle,61068,,,needs_coordinates
200702357,A'S RESTAURANT AND BAR LLC,North Aurora,Kane,igb_licensee_list,45 S RANDALL RD,North Aurora,60542,,,needs_coordinates
210700330,"A.A.A.M & V, Inc.",Winnebago,,,,,,,,needs_address_and_coordinates
230702833,"A.J. HOT DOGS & GYROS, INC.",Wilmington,Will,igb_licensee_list,250 W BALTIMORE ST,Wilmington,60481,,,needs_coordinates
230701221,"AAB GAMING, LLC",Plano,,,,,,,,needs_address_and_coordinates
180700633,Aaron Summers,Norris City,White,igb_licensee_list,120 S. Division St.,Norris City,62869,,,needs_coordinates
